ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
249,d3ab67c7-1662-4dc9-b61b-be878213fcdc,02/06/2024 23:07:23.977,ek30648_USG,02/06/2024 23:07:23.977,ek30648_USG,02/06/2024 19:40:13.613,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6077,Tortoise Burrow,,30,No,No,No,No,No,Collapsed ,Yes,,No,No,-81.62799874,30.95433188
250,4a4f71fa-26f1-41b6-8ef3-b1224396dd34,02/06/2024 23:07:24.543,ek30648_USG,02/06/2024 23:07:24.543,ek30648_USG,02/06/2024 19:44:04.842,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6079,Tortoise Burrow,,7,No,No,Yes,No,Yes,,Yes,,No,No,-81.62767267,30.95428959
251,8be42cfc-b7d9-41a0-b94f-332b28f8f2a6,02/06/2024 23:07:25.177,ek30648_USG,02/06/2024 23:07:25.177,ek30648_USG,02/06/2024 20:11:17.390,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6082,Tortoise Burrow,,15,No,No,No,No,No,,Yes,,No,No,-81.62636768,30.95405425
252,3b521473-56b6-4317-aaa8-d864b80094fb,02/06/2024 23:07:25.806,ek30648_USG,02/06/2024 23:07:25.806,ek30648_USG,02/06/2024 20:18:10.978,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6083,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,No,No,-81.62617506,30.95405857
253,729e0f95-56af-454b-94ec-a07b8118e75d,02/06/2024 23:07:26.342,ek30648_USG,02/06/2024 23:07:26.342,ek30648_USG,02/06/2024 20:32:43.153,"Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,E6,,E6087,Tortoise Burrow,,19,No,No,No,No,Yes,,Yes,,No,No,-81.62746427,30.95489097
254,7b7077e2-914e-4e98-9ac8-c85035836d42,02/10/2024 18:07:22.596,ecm95540_USG,02/10/2024 18:07:22.596,ecm95540_USG,02/10/2024 18:04:44.570,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I811,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.58312634,30.94146534
255,5bd0f194-9c9b-4802-978f-f3ff642f6843,02/10/2024 20:49:47.136,ecm95540_USG,02/10/2024 20:49:47.136,ecm95540_USG,02/10/2024 20:42:49.318,"Eva_Kerr,Kristina_Hefferle_",,other,Erin and Paul,I8,,I8036,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,No,-81.58441914,30.94164384
256,cbb3388b-3bab-4e26-b75f-ffe10363bc12,02/10/2024 20:55:00.732,ecm95540_USG,02/10/2024 20:55:00.732,ecm95540_USG,02/10/2024 20:52:35.237,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8037,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.5846234,30.941679
257,5011a6e0-9a9a-4204-a18f-6a1a76d55c57,02/10/2024 21:00:36.613,ecm95540_USG,02/10/2024 21:00:36.613,ecm95540_USG,02/10/2024 20:57:52.479,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,18038,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.58435224,30.94154165
258,d5173583-5fcc-4809-b211-3d7f38d54cc1,02/10/2024 21:30:37.587,ecm95540_USG,02/10/2024 21:30:37.587,ecm95540_USG,02/10/2024 21:27:50.630,"Eva_Kerr,Kristina_Hefferle_",,other,Erin and Paul,I8,,I8043,Tortoise Burrow,,7,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58252104,30.94090937
259,7bafd063-8161-4186-8c6e-b1fd5627111e,02/10/2024 21:39:35.297,ecm95540_USG,02/10/2024 21:39:35.297,ecm95540_USG,02/10/2024 21:35:31.995,"Eva_Kerr,Kristina_Hefferle_,other",Erin and Paul,Ceylon WMA,,I8,,I8046,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,Yes,No,-81.58234586,30.94065947
