ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and Time,Observer,Other - Observer,SIte,Other - SIte,Ceylon Grid ID,Other - Ceylon Grid ID,Burrow ID Number,Type of Burrow,Other - Type of Burrow,Burrow Width (cm),Does this burrow have a gopher frog record?,Did you see a gopher frog?,Did you see a tortoise?,Did you set a trap?,Should this burrow be scoped again?,Burrow Notes ,Did you add the burrow to the scoping Avenza Layer?,Notes ,Could you scope to the end of the burrow?,Has this been scoped previously this season? ,x,y
417,ad1f4cbd-f7e0-4e0b-a4b4-a3ef314bb1cf,07/22/2024 01:00:18.842,ek30648_USG,07/22/2024 01:00:18.842,ek30648_USG,07/20/2024 13:44:36.794,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,D8,,D8004,Tortoise Burrow,,15,No,No,Yes,No,Yes,,Yes,,No,No,-81.63486504,30.94481661
418,2408cebb-26d4-4af5-bd26-9c639fdcd60d,07/22/2024 01:00:19.548,ek30648_USG,07/22/2024 01:00:19.548,ek30648_USG,07/20/2024 13:47:06.741,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D8,,D8006,Tortoise Burrow,,12,No,No,Yes,No,Yes,,Yes,,No,No,-81.63478749,30.94488787
419,14885e84-a970-4834-ad67-50ad1bf32b3c,07/22/2024 01:00:20.344,ek30648_USG,07/22/2024 01:00:20.344,ek30648_USG,7/20/24 13:50,"Kristina_Hefferle_,Jade_Samples,Eva_Kerr",,Ceylon WMA,,D8,,D8007,Tortoise Burrow,,35,No,No,Yes,No,Yes,,Yes,,No,No,-81.63510324,30.94487197
420,e77aca31-cfd1-404f-8ce5-c01795f6881a,07/22/2024 01:00:20.980,ek30648_USG,07/22/2024 01:00:20.980,ek30648_USG,07/20/2024 13:51:54.343,"Jade_Samples,Eva_Kerr,Kristina_Hefferle_",,Ceylon WMA,,D8,,D8008,Tortoise Burrow,,15,No,Yes,Yes,Yes,Yes,,Yes,,No,No,-81.63510309,30.94488296
421,1475aa08-5523-41a4-b72b-c39c15f85cdb,07/22/2024 01:00:21.828,ek30648_USG,07/22/2024 01:00:21.828,ek30648_USG,07/20/2024 15:26:07.966,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7082,Tortoise Burrow,,15,No,No,Yes,No,Yes,,Yes,,No,No,-81.63444741,30.94609208
422,d014575a-471b-4952-a22f-2922aeff8d1e,07/22/2024 01:00:22.479,ek30648_USG,07/22/2024 01:00:22.479,ek30648_USG,07/20/2024 15:27:30.471,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,D7,,D7083,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.63438345,30.94608103
423,feee80c1-b701-40bb-b15a-9b4cef46f8d5,07/22/2024 01:00:23.136,ek30648_USG,07/22/2024 01:00:23.136,ek30648_USG,07/20/2024 15:33:36.706,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7085,Tortoise Burrow,,35,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.63401181,30.94586551
424,a4392128-5814-4d49-847e-9c574bc56796,07/22/2024 01:00:24.021,ek30648_USG,07/22/2024 01:00:24.021,ek30648_USG,07/20/2024 16:01:37.126,Eva_Kerr,,Ceylon WMA,,D7,,D7088,Tortoise Burrow,,25,No,Yes,No,Yes,Yes,,Yes,,No,No,-81.6338284,30.94631107
425,b0236eb4-bbff-414b-beb9-ffb701e6bfb4,07/22/2024 01:00:24.754,ek30648_USG,07/22/2024 01:00:24.754,ek30648_USG,07/20/2024 21:01:41.466,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D6,,D6007,Tortoise Burrow,,29,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.63163671,30.95412812
426,36ee5db7-a0c8-4525-930b-901c9b378088,07/22/2024 01:00:25.363,ek30648_USG,07/22/2024 01:00:25.363,ek30648_USG,07/20/2024 21:13:28.327,"Eva_Kerr,Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7012,Tortoise Burrow,,31,No,No,Yes,No,Yes,Dead tort ,Yes,,Yes,Yes,-81.63195741,30.94807605
427,6aaad509-adfa-4ab8-927c-60b79cf39bf4,07/22/2024 01:00:25.985,ek30648_USG,07/22/2024 01:00:25.985,ek30648_USG,7/20/24 22:13,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,I8015,Tortoise Burrow,,18,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.5829236,30.9413188
428,06171c7b-dfe7-4e79-ba41-1014caa36713,07/22/2024 01:00:26.586,ek30648_USG,07/22/2024 01:00:26.586,ek30648_USG,07/20/2024 22:40:28.944,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,I8100,Tortoise Burrow,,20,No,No,No,No,Yes,,Yes,,Yes,No,-81.58342466,30.94142454
429,f997fe58-02ec-4dbd-94d6-8e631de5fd7d,07/22/2024 01:00:27.232,ek30648_USG,07/22/2024 01:00:27.232,ek30648_USG,07/20/2024 22:43:17.062,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,I8017,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.58343663,30.9415533
430,b11f7b4e-1e4f-417c-a8f5-a374d7ccef54,07/22/2024 01:00:27.915,ek30648_USG,07/22/2024 01:00:27.915,ek30648_USG,07/20/2024 22:46:36.872,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,I8020,Tortoise Burrow,,35,No,No,No,No,Yes,,Yes,,No,Yes,-81.5835884,30.94147934
431,3fa7e636-7592-4391-9967-6879cce10e2c,07/22/2024 01:00:28.520,ek30648_USG,07/22/2024 01:00:28.520,ek30648_USG,07/20/2024 22:48:49.477,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,I8,,I80101,Tortoise Burrow,,35,No,No,No,No,Yes,,Yes,,No,No,-81.58382212,30.94170988
432,f149967b-f920-491e-8b19-12c18d0b5467,07/22/2024 01:00:29.262,ek30648_USG,07/22/2024 01:00:29.262,ek30648_USG,07/20/2024 22:52:09.781,"Eva_Kerr,Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,I8,,I8029,Tortoise Burrow,,25,No,Yes,No,Yes,Yes,,Yes,,No,Yes,-81.58337732,30.94166719
433,401f4c6e-fd15-49dc-97e3-484c177303c7,07/22/2024 01:00:29.858,ek30648_USG,07/22/2024 01:00:29.858,ek30648_USG,07/21/2024 17:21:06.494,Eva_Kerr,,Ceylon WMA,,I9,,I9001,Tortoise Burrow,,30,No,No,Yes,No,Yes,Puddle at back ,Yes,,No,No,-81.57847901,30.93693175
434,93c4f240-2448-4f09-b512-0955df00f4d1,07/22/2024 01:00:30.427,ek30648_USG,07/22/2024 01:00:30.427,ek30648_USG,07/21/2024 17:28:34.187,Eva_Kerr,,Ceylon WMA,,I9,,I9002,Tortoise Burrow,,30,No,No,No,No,Yes,Puddle ,Yes,,No,No,-81.57797721,30.93637845
435,0e743fe2-1266-4815-9285-2d1534224bc0,07/22/2024 01:00:31.070,ek30648_USG,07/22/2024 01:00:31.070,ek30648_USG,07/21/2024 17:38:18.329,Eva_Kerr,,Ceylon WMA,,I9,,I9003,Tortoise Burrow,,15,No,No,No,No,Yes,Abandoned ,Yes,,No,No,-81.57722837,30.93570791
436,715ff847-94d8-4226-a51b-c8e400eae6b0,07/22/2024 01:00:32.164,ek30648_USG,07/22/2024 01:00:32.164,ek30648_USG,07/21/2024 17:43:26.729,Eva_Kerr,,Ceylon WMA,,I9,,I9004,Tortoise Burrow,,30,No,No,No,No,Yes,Abandoned ,Yes,,No,No,-81.57727339,30.93568822
437,559b23d4-8b33-4da1-8361-b3e80dc65ab5,07/22/2024 01:16:16.832,jas16028_USG,07/22/2024 01:16:16.832,jas16028_USG,07/20/2024 22:18:26.575,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,I8014,Tortoise Burrow,,30 ,No,No,No,No,Yes,Too soft to get to back of burrow. ,Yes,,No,Yes,-81.58298697,30.94130081
438,50c5f290-c2e5-4fd3-87a8-427076d78eb6,07/22/2024 01:16:17.611,jas16028_USG,07/22/2024 01:16:17.611,jas16028_USG,07/20/2024 22:20:41.129,"Jade_Samples,Eva_Kerr",,Ceylon WMA,,I8,,I8013,Tortoise Burrow,,12,No,No,No,No,Yes,Pancaked ,Yes,,No,Yes,-81.58311855,30.94126235
439,0245ee32-5e92-430f-a4a2-92e6926c9976,07/22/2024 01:16:18.269,jas16028_USG,07/22/2024 01:16:18.269,jas16028_USG,07/20/2024 22:24:28.132,"Eva_Kerr,Jade_Samples",,Ceylon WMA,,I8,,99,Tortoise Burrow,,14,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.58324219,30.941367
440,757dcea5-8b24-4fb3-bc13-f99303493b4f,07/22/2024 01:16:19.058,jas16028_USG,07/22/2024 01:16:19.058,jas16028_USG,07/20/2024 22:35:25.437,Jade_Samples,,Ceylon WMA,,I8,,I8019,Tortoise Burrow,,15,No,No,Yes,No,Yes,,Yes,,Yes,Yes,-81.58336433,30.94134411
441,92b91f93-4632-469d-97c1-6ab8a994a5da,07/22/2024 01:16:19.846,jas16028_USG,07/22/2024 01:16:19.846,jas16028_USG,07/20/2024 22:38:16.626,Jade_Samples,,Ceylon WMA,,I8,,I8018,Tortoise Burrow,,16,No,No,No,No,No,,Yes,,Yes,Yes,-81.58341217,30.94135697
442,28167623-8dbc-4960-b311-455bdfa8cab7,07/22/2024 01:16:20.531,jas16028_USG,07/22/2024 01:16:20.531,jas16028_USG,07/20/2024 22:57:24.437,Jade_Samples,,Ceylon WMA,,I8,,I8102,Tortoise Burrow,,16,No,No,No,No,Yes,Couldn’t get to back. ,Yes,I didn’t add it to Avenza ,No,No,-81.5832552,30.94169057
443,1c0048b3-9305-4a23-b6d0-ce4c9848bb58,07/22/2024 01:16:21.659,jas16028_USG,07/22/2024 01:16:21.659,jas16028_USG,7/20/24 23:00,Jade_Samples,,Ceylon WMA,,I8,,I8010,Tortoise Burrow,,35,No,No,No,No,No,Collapsed ,Yes,,Yes,Yes,-81.58311644,30.94156056
444,918cc821-b3df-49e7-b733-2e78d40eb008,07/22/2024 01:16:22.434,jas16028_USG,07/22/2024 01:16:22.434,jas16028_USG,7/20/24 23:10,Jade_Samples,,Ceylon WMA,,I8,,31,Tortoise Burrow,,35,No,No,No,No,Yes,,Yes,,Yes,No,-81.58338247,30.94190837
445,2ca885d5-cc0e-4c0e-9f2c-caaf4ffd0b89,07/22/2024 01:16:23.055,jas16028_USG,07/22/2024 01:16:23.055,jas16028_USG,07/20/2024 23:16:28.322,Jade_Samples,,Ceylon WMA,,I8,,I8103,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.5828392,30.94156436
446,22ebe0c4-4850-4468-9db9-2619f915ba4c,07/22/2024 01:16:23.764,jas16028_USG,07/22/2024 01:16:23.764,jas16028_USG,07/21/2024 13:46:36.055,Jade_Samples,,Ceylon WMA,,I8,,I8098,Tortoise Burrow,,34,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.5824292,30.94124157
447,a712a41b-f90c-4de2-8251-02e903646ef5,07/22/2024 01:16:25.541,jas16028_USG,07/22/2024 01:16:25.541,jas16028_USG,07/21/2024 13:51:27.200,Jade_Samples,,Ceylon WMA,,I8,,I8009,Tortoise Burrow,,35,No,No,No,No,Yes,,Yes,,No,Yes,-81.58232586,30.94149564
448,50c6ccaf-4367-4675-a353-d17929084bc8,07/22/2024 01:16:26.233,jas16028_USG,07/22/2024 01:16:26.233,jas16028_USG,07/21/2024 13:54:32.094,Jade_Samples,,Ceylon WMA,,I8,,I8008,Tortoise Burrow,,15,No,No,No,No,Yes,Collapsed in back ,Yes,,Yes,Yes,-81.58228648,30.94136155
449,6abce2a9-6796-4a9a-bbff-9febef0e4107,07/22/2024 01:16:26.882,jas16028_USG,07/22/2024 01:16:26.882,jas16028_USG,07/21/2024 14:00:05.945,Jade_Samples,,Ceylon WMA,,I8,,I8104,Tortoise Burrow,,12,No,No,No,No,Yes,,Yes,,Yes,No,-81.5823623,30.94127175
450,d5024e02-94ae-4340-aae0-7a8c63825ec8,07/22/2024 01:16:27.892,jas16028_USG,07/22/2024 01:16:27.892,jas16028_USG,07/21/2024 14:06:31.392,Jade_Samples,,Ceylon WMA,,I8,,I8002,Tortoise Burrow,,40,No,No,Yes,No,Yes,,Yes,,Yes,Yes,-81.58214622,30.94108024
451,d74f533d-8ce8-4bc2-87aa-86e40ff0a9ba,07/22/2024 01:16:28.456,jas16028_USG,07/22/2024 01:16:28.456,jas16028_USG,07/21/2024 14:12:34.530,Jade_Samples,,Ceylon WMA,,I8,,I8001,Tortoise Burrow,,45,No,No,No,No,Yes,Looks inactive ,Yes,,Yes,Yes,-81.58225723,30.94094326
452,31abc2bd-5c7b-4a78-8bd2-54a4feed7a28,07/22/2024 01:16:28.995,jas16028_USG,07/22/2024 01:16:28.995,jas16028_USG,07/21/2024 15:25:44.385,Jade_Samples,,Ceylon WMA,,I8,,I8001,Tortoise Burrow,,35,No,No,No,No,Yes,Couldn’t get to back. Puddle of water ,Yes,,No,Yes,-81.58404844,30.94155977
453,f653f440-57be-4426-8f8a-66e266399ede,07/22/2024 01:16:29.457,jas16028_USG,07/22/2024 01:16:29.457,jas16028_USG,7/21/24 15:32,Jade_Samples,,Ceylon WMA,,I8,,I8002,Armadillo Burrow,,24,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.58433537,30.94152344
454,b5f6adad-8c9c-423d-89a8-bbff8a212013,07/22/2024 01:16:29.951,jas16028_USG,07/22/2024 01:16:29.951,jas16028_USG,07/21/2024 15:38:49.616,Jade_Samples,,Ceylon WMA,,I8,,I8003,Tortoise Burrow,,38,No,No,No,No,Yes,Inactive,Yes,,Yes,Yes,-81.58438328,30.94165678
455,aa7e0a8e-cae5-47c6-8b67-bc6632df69be,07/22/2024 01:16:30.670,jas16028_USG,07/22/2024 01:16:30.670,jas16028_USG,07/21/2024 15:47:25.505,Jade_Samples,,Ceylon WMA,,I8,,I8004,Tortoise Burrow,,30,No,No,No,No,Yes,Couldn’t get past water in burrow ,Yes,,No,Yes,-81.58404779,30.94190522
456,4ca39ad0-fd84-4626-8cd7-270cf0a862e1,07/22/2024 01:16:31.143,jas16028_USG,07/22/2024 01:16:31.143,jas16028_USG,07/21/2024 15:55:20.095,Jade_Samples,,Ceylon WMA,,I8,,I8005,Tortoise Burrow,,35,No,No,Yes,No,Yes,,Yes,,Yes,Yes,-81.5837982,30.9415065
457,11f442b4-8f00-405d-884a-ce5f54a38538,07/22/2024 01:16:31.699,jas16028_USG,07/22/2024 01:16:31.699,jas16028_USG,07/21/2024 16:00:35.839,Jade_Samples,,Ceylon WMA,,I8,,I8031,Tortoise Burrow,,20,No,No,No,No,Yes,Inactive ,Yes,,Yes,Yes,-81.58370299,30.94210829
458,037855c8-6007-4f26-ad56-34e443474d3d,08/15/2024 14:01:40.603,kfh39602_USG,08/15/2024 14:01:40.603,kfh39602_USG,07/20/2024 13:35:53.992,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7036,Tortoise Burrow,,30,No,No,No,No,No,,Yes,,No,Yes,-81.63480504,30.94512949
459,8f39c5af-cd95-46f6-b2d9-eac1a3018e6d,08/15/2024 14:01:41.505,kfh39602_USG,08/15/2024 14:01:41.505,kfh39602_USG,07/20/2024 13:45:14.891,"Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D8,,D8005,Tortoise Burrow,,12,No,No,No,No,Yes,,Yes,,No,No,-81.63497317,30.94491443
460,c7cf2115-b8e2-485e-8952-e25d92075372,08/15/2024 14:01:42.119,kfh39602_USG,08/15/2024 14:01:42.119,kfh39602_USG,07/20/2024 14:08:29.888,"Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D8,,D8009,Tortoise Burrow,,24,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.635381,30.94490328
461,6bfe0197-08e9-412e-945c-2d2442ba1e4d,08/15/2024 14:01:42.872,kfh39602_USG,08/15/2024 14:01:42.872,kfh39602_USG,07/20/2024 14:13:28.303,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7038,Tortoise Burrow,,33,No,Yes,No,Yes,Yes,,Yes,,Yes,Yes,-81.63514525,30.94508557
462,01ff7d57-e569-4fbb-842f-bdb062451148,08/15/2024 14:01:43.530,kfh39602_USG,08/15/2024 14:01:43.530,kfh39602_USG,07/20/2024 14:34:46.363,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7075,Tortoise Burrow,,28,No,No,No,No,Yes,,Yes,,Yes,No,-81.6351176,30.9451321
463,d16a4936-f763-4638-8670-f9869fa1a612,08/15/2024 14:01:44.151,kfh39602_USG,08/15/2024 14:01:44.151,kfh39602_USG,07/20/2024 14:38:11.974,"Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,D7,,D7037,Tortoise Burrow,,30,No,No,No,Yes,Yes,,Yes,,No,Yes,-81.63503174,30.94509076
464,9b98a40b-e3c3-4d74-9fea-e4836e7f2bb9,08/15/2024 14:01:45.007,kfh39602_USG,08/15/2024 14:01:45.007,kfh39602_USG,07/20/2024 14:50:23.428,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7040,Tortoise Burrow,,38,No,No,Yes,No,Yes,,Yes,,Yes,Yes,-81.63540695,30.94509215
465,e6f53d91-1c3f-4c56-9c69-62a1cf162bc4,08/15/2024 14:01:45.565,kfh39602_USG,08/15/2024 14:01:45.565,kfh39602_USG,7/20/24 14:53,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7042,Tortoise Burrow,,28,No,Yes,No,Yes,Yes,,Yes,,Yes,Yes,-81.63518472,30.94553726
466,b193ff4b-3d0c-4f6c-89e4-f663716a89fb,08/15/2024 14:01:46.208,kfh39602_USG,08/15/2024 14:01:46.208,kfh39602_USG,07/20/2024 14:54:56.371,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7077,Tortoise Burrow,,28,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.6352978,30.94559138
467,b41ffe41-40ca-42e0-8f3b-79766490cd5a,08/15/2024 14:01:46.804,kfh39602_USG,08/15/2024 14:01:46.804,kfh39602_USG,07/20/2024 15:06:30.853,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7078,Tortoise Burrow,,12,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.63498448,30.94527044
468,b16f48bc-927b-4ad4-b556-09d39bfb2b80,08/15/2024 14:01:47.609,kfh39602_USG,08/15/2024 14:01:47.609,kfh39602_USG,07/20/2024 15:10:54.256,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7079,Tortoise Burrow,,10,No,No,No,Yes,Yes,,Yes,,No,No,-81.63509868,30.94552124
469,8cdafa52-a208-4112-8b76-c801b362f92c,08/15/2024 14:01:48.122,kfh39602_USG,08/15/2024 14:01:48.122,kfh39602_USG,07/20/2024 15:12:59.583,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7080,Tortoise Burrow,,7,No,No,No,No,No,,Yes,,No,No,-81.63510487,30.94554659
470,b949085f-bd5b-4da1-a28c-087d2dd498db,08/15/2024 14:01:48.691,kfh39602_USG,08/15/2024 14:01:48.691,kfh39602_USG,07/20/2024 15:23:38.035,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7081,Tortoise Burrow,,30,No,No,No,No,Yes,,Yes,,Yes,No,-81.63507941,30.94586361
471,67dfd40c-0712-4d24-ae32-4091b631a2fa,08/15/2024 14:01:49.347,kfh39602_USG,08/15/2024 14:01:49.347,kfh39602_USG,07/20/2024 15:31:55.583,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7084,Tortoise Burrow,,18,No,No,No,No,No,,Yes,,No,No,-81.63445126,30.94602499
472,4e980b85-0acc-4fb3-8888-71ff328135c9,08/15/2024 14:01:49.889,kfh39602_USG,08/15/2024 14:01:49.889,kfh39602_USG,07/20/2024 15:36:02.671,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7085,Tortoise Burrow,,35,No,Yes,No,Yes,Yes,,Yes,,No,No,-81.63404801,30.9458819
473,83a22566-bddf-4bfa-ab11-82bab4e3fcd7,08/15/2024 14:01:50.563,kfh39602_USG,08/15/2024 14:01:50.563,kfh39602_USG,07/20/2024 15:50:14.263,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7086,Tortoise Burrow,,10,No,Yes,No,Yes,Yes,,Yes,,Yes,No,-81.63379458,30.9461495
474,eb895b5e-2a68-4010-8aec-d1d338862cae,08/15/2024 14:01:51.178,kfh39602_USG,08/15/2024 14:01:51.178,kfh39602_USG,07/20/2024 15:54:33.169,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7087,Tortoise Burrow,,10,No,No,No,No,No,,Yes,,Yes,No,-81.63390031,30.9461848
475,5ba6c377-b898-435f-92fc-d94ea5522206,08/15/2024 14:01:51.766,kfh39602_USG,08/15/2024 14:01:51.766,kfh39602_USG,07/20/2024 16:02:36.347,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7089,Tortoise Burrow,,10,No,No,No,No,Yes,,Yes,,No,No,-81.63376957,30.94624848
476,aa934018-d39c-437b-9fa2-51a0a36dfa82,08/15/2024 14:01:52.417,kfh39602_USG,08/15/2024 14:01:52.417,kfh39602_USG,07/20/2024 16:06:17.435,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7090,Tortoise Burrow,,8,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.63376587,30.94640129
477,65917915-e7c6-4359-b234-af4401d7fbff,08/15/2024 14:01:53.041,kfh39602_USG,08/15/2024 14:01:53.041,kfh39602_USG,07/20/2024 16:09:14.837,"Jade_Samples,Kristina_Hefferle_",,Ceylon WMA,,D7,,D7091,Tortoise Burrow,,35,No,No,No,No,Yes,Soup in back of burrow ,Yes,,No,No,-81.63395906,30.94634632
478,391e489f-b41d-4fc0-a217-258d7a021110,08/15/2024 14:01:53.665,kfh39602_USG,08/15/2024 14:01:53.665,kfh39602_USG,07/20/2024 16:15:20.816,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7092,Tortoise Burrow,,12,No,No,No,No,Yes,,Yes,,Yes,No,-81.633654,30.94647264
479,95e985cb-960a-48c2-8cd1-0d74201d040a,08/15/2024 14:01:54.165,kfh39602_USG,08/15/2024 14:01:54.165,kfh39602_USG,07/20/2024 16:20:04.893,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7093,Tortoise Burrow,,30,No,No,Yes,No,Yes,,Yes,,Yes,No,-81.63352799,30.94649306
480,aac48631-7b40-4b5d-9f31-873aa3533823,08/15/2024 14:01:54.783,kfh39602_USG,08/15/2024 14:01:54.783,kfh39602_USG,7/20/24 16:21,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7025,Tortoise Burrow,,35,Yes,No,No,No,Yes,,Yes,,No,No,-81.63358679,30.94659823
481,266c11a4-9e8e-4d8a-95f1-0fd544d29a45,08/15/2024 14:01:55.456,kfh39602_USG,08/15/2024 14:01:55.456,kfh39602_USG,07/20/2024 16:28:25.312,Kristina_Hefferle_,,Ceylon WMA,,D7,,D7094,Tortoise Burrow,,8,No,No,No,No,Yes,,Yes,,No,No,-81.63375979,30.94615966
482,a440f185-d405-49b1-9adc-b31705902a47,08/15/2024 14:01:56.120,kfh39602_USG,08/15/2024 14:01:56.120,kfh39602_USG,07/20/2024 22:27:39.480,"Kristina_Hefferle_,Jade_Samples",,Ceylon WMA,,I8,,I8012,Tortoise Burrow,,30,No,Yes,No,Yes,Yes,,Yes,,Yes,Yes,-81.58325391,30.94141715
483,fe6ded02-216b-464a-9ae5-57831533c71c,08/15/2024 14:01:56.822,kfh39602_USG,08/15/2024 14:01:56.822,kfh39602_USG,07/20/2024 22:32:54.006,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8011,Tortoise Burrow,,28,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.58313768,30.94146313
484,add62a26-3b1d-43ae-bd09-96017cfd52a7,08/15/2024 14:01:57.323,kfh39602_USG,08/15/2024 14:01:57.323,kfh39602_USG,07/21/2024 14:34:11.204,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8105,Tortoise Burrow,,17,No,No,No,No,Yes,,Yes,,Yes,No,-81.58178544,30.94082837
485,a5b6ff05-4cb6-4516-bd62-a5d97eda907b,08/15/2024 14:01:57.844,kfh39602_USG,08/15/2024 14:01:57.844,kfh39602_USG,07/21/2024 14:40:51.586,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8084,Tortoise Burrow,,25,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.58165265,30.94125201
486,661c6075-1676-44b6-b030-fae07109da9e,08/15/2024 14:01:58.360,kfh39602_USG,08/15/2024 14:01:58.360,kfh39602_USG,07/21/2024 14:45:40.340,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8088,Tortoise Burrow,,45,No,No,No,No,Yes,,Yes,,No,Yes,-81.58146043,30.94119743
487,edbef909-b607-4f51-ab59-eff23cc1a47f,08/15/2024 14:01:58.883,kfh39602_USG,08/15/2024 14:01:58.883,kfh39602_USG,07/21/2024 14:53:20.734,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8089,Tortoise Burrow,,13,No,No,No,No,Yes,,Yes,,Yes,Yes,-81.58132995,30.94138784
488,bd8e50cc-eb4f-4fd6-8e94-f79ce5effcd1,08/15/2024 14:01:59.509,kfh39602_USG,08/15/2024 14:01:59.509,kfh39602_USG,7/21/24 14:58,Kristina_Hefferle_,,Ceylon WMA,,I8,,I8090,Tortoise Burrow,,29,No,No,Yes,No,Yes,,Yes,,Yes,Yes,-81.5812713,30.94161123
489,4fe22ecf-89fb-4e92-b171-cd5f7830a0d5,08/24/2024 13:18:50.967,ek30648_USG,08/24/2024 13:18:50.967,ek30648_USG,08/23/2024 22:41:34.454,"Eva_Kerr,Jade_Samples",,Jones Center,,,,Hpx006,Armadillo Burrow,,15,No,No,No,No,Yes,,Yes,,Yes,No,-84.4623909,31.31639459
490,6255e116-8699-4355-8e60-2115d2887e66,08/24/2024 13:18:51.866,ek30648_USG,08/24/2024 13:18:51.866,ek30648_USG,08/23/2024 22:44:36.372,"Eva_Kerr,Jade_Samples",,Jones Center,,,,Hpx007,Armadillo Burrow,,15,No,No,No,No,No,,Yes,,Yes,No,-84.46272855,31.31652382
491,597b31a9-6e56-4c30-adb5-89ae196c33a7,08/24/2024 13:18:52.454,ek30648_USG,08/24/2024 13:18:52.454,ek30648_USG,08/23/2024 22:58:27.587,"Eva_Kerr,Jade_Samples",,Jones Center,,,,Hpx009,Tortoise Burrow,,35,No,No,Yes,No,Yes,,Yes,,Yes,No,-84.4614275,31.31548474
492,f7ab4893-122f-4a73-a718-b8b214ab2c91,08/24/2024 13:18:53.113,ek30648_USG,08/24/2024 13:18:53.113,ek30648_USG,08/23/2024 23:00:05.203,"Eva_Kerr,Jade_Samples",,Jones Center,,,,Hpx010,Tortoise Burrow,,28,No,No,No,No,Yes,Toad ,Yes,,Yes,No,-84.46137692,31.31532106
493,cda74925-50d3-419a-a613-9fba329672cc,08/24/2024 13:18:53.864,ek30648_USG,08/24/2024 13:18:53.864,ek30648_USG,08/23/2024 23:09:09.373,"Eva_Kerr,Jade_Samples",,Jones Center,,,,Hpx012,Tortoise Burrow,,40,No,No,Yes,No,Yes,Toad ,Yes,,Yes,No,-84.46401431,31.31779448
